,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
0,Best Seller,Nike Air Force 1 '07,Men's Shoes,4 Colors,$110,,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-111,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball OG that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine.",White/White; Black/Black; Black/White; White/Black; Design your own Nike By You product,3555,4.8
1,Best Seller,Nike Air Force 1 LE,Big Kids' Shoes,2 Colors,$90,,https://www.nike.com/t/air-force-1-le-big-kids-shoes-3JNSvS/DH2920-111,"This is what legends are made of. The Nike Air Force 1 LE brings back the ’82 hardwood icon into an everyday style in all-white or all-black. The durability, feel and Air are still there for those who love a classic.",White/White; Black/Black,391,4.8
2,Best Seller,Air Jordan 1 Low,Men's Shoes,7 Colors,$110,,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-065,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh. With an iconic design that pairs perfectly with any 'fit, these kicks ensure you'll always be on point.",White/Aquatone/Celestial Gold; Black/White/Fire Red; Black/White/Gym Red; Black/Black/Black; White/White/White; Black/Lucky Green/White/Black; Palomino/White/Wild Berry,1042,4.9
3,Best Seller,Nike Dunk Low Retro,Men's Shoes,1 Color,$110,,https://www.nike.com/t/dunk-low-retro-mens-shoes-NgD3kx/DV0831-002,"Created for the hardwood but taken to the streets, the basketball icon returns with classic details and throwback hoops flair. Channeling '80s vibes, its padded, low-cut collar lets you take your game anywhere—in comfort.",,6,4.3
4,Best Seller,Nike Blazer Mid '77,Big Kids' Shoes,5 Colors,$85,,https://www.nike.com/t/blazer-mid-77-big-kids-shoes-4VfSTd/DA4086-100,"The Nike Blazer Mid '77 channels the old-school look of Nike basketball with a vintage midsole finish. Throwback style with modern materials means you can run, skip and jump in comfort.",White/Total Orange/Black; Black/White/Team Orange/Sail; White/Pink Glaze; White/Coconut Milk/White/Picante Red; White/Pure Platinum/Game Royal,398,4.8
5,Best Seller,Air Jordan 1 Mid,Women's Shoes,7 Colors,$125,,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-061,"The Air Jordan 1 Mid brings full-court style and premium comfort to an iconic look. Its Air-Sole unit cushions play on the hardwood, while the padded collar gives you a supportive feel.",Cement Grey/Anthracite/Sail; Black/Sail/Altitude Green; Black/Sail/Dark Concord; Lemon Wash/White/Lapis; White/Atmosphere/Sail/Sea Coral; Black/Sail/Gym Red; Black/Aquatone/Sail/Lucky Green,696,4.9
6,Best Seller,Air Jordan 1 Mid SE,Men's Shoes,4 Colors,$135,$94.97,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/DQ8417-071,Get that Jordan energy on your feet this holiday season. Rich grain leather with bright details make this pair shine like holiday lights.,White/Black/Ice Blue; Black/White/Sail/Taxi; Black/Sesame/Fire Red/Multi-Color; Black/White/Malachite/Fire Red,27,4.8
7,Best Seller,Nike Free Metcon 5,Women's Training Shoes,5 Colors,$120,,https://www.nike.com/t/free-metcon-5-womens-training-shoes-z3mwK7/DV3950-100,"When your workouts wade into the nitty gritty, the Nike Free Metcon 5 can meet you in the depths, help you dig deep to find that final ounce of force and come out of the other side on a high. It matches style with substance, forefoot flexibility with backend stability, perfect for flying through a cardio day or enhancing your agility. A revamped upper offers easier entry with a collar made just for your ankle.",Black/Anthracite/White; Pink Oxford/Diffused Taupe/Gum Light Brown/White; Photon Dust/Picante Red/Black/Photon Dust; Sail/Sanddrift/Coconut Milk/Sail; Citron Tint/Volt/Summit White/Cool Grey,49,4.6
8,Best Seller,Air Jordan 1 Low,Big Kids' Shoes,7 Colors,$90,,https://www.nike.com/t/air-jordan-1-low-big-kids-shoes-kAvvx4/553560-065,An iconic look that lasts. This AJ1 pairs the classic design of the original with premium materials that will keep you going all day.,Desert Berry/White/Coral Chalk; Black/Lucky Green/White/Black; True Blue/White/Cement Grey; Black/White/Gym Red; Palomino/White/Wild Berry; Black/Taxi/Dark Concord; Black/White/Fire Red,287,4.9
9,Best Seller,Air Jordan 1 Retro High OG,Men's Shoes,3 Colors,$180,,https://www.nike.com/t/air-jordan-1-retro-high-og-mens-shoes-VdpsB7/DZ5485-031,"The Air Jordan 1 Retro High remakes the classic sneaker, giving you a fresh look with a familiar feel. Premium materials with new colors and textures give modern expression to an all-time favorite.",Black/White/Lucky Green; True Blue/Cement Grey/White; Gorge Green/White/Metallic Silver,45,4.9
10,Best Seller,Nike Blazer Mid '77,Women's Shoes,7 Colors,$105,,https://www.nike.com/t/blazer-mid-77-womens-shoes-NPWfjm/CZ1055-100,"Styled for the ‘70s. Loved in the ‘80s. Classic in the ‘90s. Ready for the future. The Nike Blazer Mid ’77 delivers a timeless design that’s easy to wear. Its unbelievably crisp leather upper breaks in beautifully and pairs with bold retro branding and luscious suede accents for a premium feel. Exposed foam on the tongue and a special midsole finish make it look like you’ve just pulled them from the history books. Go ahead, perfect your outfit.",White/Sail/Gum Medium Brown/Peach Cream; White/Sail/Cinnabar/Mantra Orange; White/White/Peach/White; White/Sail/Peach/Black; White/Sail/Black/Game Royal; White/Picante Red/Fuchsia Dream/Stadium Green; White/Peach/Summit White/Pink Oxford; Design your own Nike By You product,807,4.7
